Valor nulo: -9999.9	
Fecha (GMT)	Salinidad(psu)
2020 01 18 07	34.562
2020 01 18 08	34.562
2020 01 18 09	34.562
2020 01 18 10	34.562
2020 01 18 11	34.562
2020 01 18 12	34.562
2020 01 18 13	34.562
2020 01 18 14	34.562
2020 01 18 15	34.562
2020 01 18 16	34.562
2020 01 18 17	34.562
2020 01 18 18	34.562
2020 01 18 19	34.562
2020 01 18 20	34.562
2020 01 18 21	34.562
2020 01 18 22	34.562
2020 01 18 23	34.562
2020 01 19 00	34.874
2020 01 19 01	34.874
2020 01 19 02	34.874
2020 01 19 03	34.874
2020 01 19 04	34.874
2020 01 19 05	34.874
2020 01 19 06	34.874
2020 01 19 07	34.874
2020 01 19 08	34.874
2020 01 19 09	34.874
2020 01 19 10	34.874
2020 01 19 11	34.874
2020 01 19 12	34.874
2020 01 19 13	34.874
2020 01 19 14	34.874
2020 01 19 15	34.874
2020 01 19 16	34.874
2020 01 19 17	34.874
2020 01 19 18	34.874
2020 01 19 19	34.874
2020 01 19 20	34.874
2020 01 19 21	34.874
2020 01 19 22	34.874
2020 01 19 23	34.874
2020 01 20 00	35.173
2020 01 20 01	35.173
2020 01 20 02	35.173
2020 01 20 03	35.173
2020 01 20 04	35.173
2020 01 20 05	35.173
2020 01 20 06	35.173
2020 01 20 07	35.173
2020 01 20 08	35.173
2020 01 20 09	35.173
2020 01 20 10	35.173
2020 01 20 11	35.173
2020 01 20 12	35.173
2020 01 20 13	35.173
2020 01 20 14	35.173
2020 01 20 15	35.173
2020 01 20 16	35.173
2020 01 20 17	35.173
2020 01 20 18	35.173
2020 01 20 19	35.173
2020 01 20 20	35.173
2020 01 20 21	35.173
2020 01 20 22	35.173
2020 01 20 23	35.173
2020 01 21 00	35.172
2020 01 21 01	35.172
2020 01 21 02	35.172
2020 01 21 03	35.172
2020 01 21 04	35.172
2020 01 21 05	35.172
2020 01 21 06	35.172
2020 01 21 07	35.172
2020 01 21 08	35.172
2020 01 21 09	35.172
2020 01 21 10	35.172
2020 01 21 11	35.172
2020 01 21 12	35.172
2020 01 21 13	35.172
2020 01 21 14	35.172
2020 01 21 15	35.172
2020 01 21 16	35.172
2020 01 21 17	35.172
2020 01 21 18	35.172
2020 01 21 19	35.172
2020 01 21 20	35.172
2020 01 21 21	35.172
2020 01 21 22	35.172
2020 01 21 23	35.172
2020 01 22 00	35.05
2020 01 22 01	35.05
2020 01 22 02	35.05
2020 01 22 03	35.05
2020 01 22 04	35.05
2020 01 22 05	35.05
2020 01 22 06	35.05
2020 01 22 07	35.05
2020 01 22 08	35.05
2020 01 22 09	35.05
2020 01 22 10	35.05
2020 01 22 11	35.05
2020 01 22 12	35.05
2020 01 22 13	35.05
2020 01 22 14	35.05
2020 01 22 15	35.05
2020 01 22 16	35.05
2020 01 22 17	35.05
2020 01 22 18	35.05
2020 01 22 19	35.05
2020 01 22 20	35.05
2020 01 22 21	35.05
2020 01 22 22	35.05
2020 01 22 23	35.05
2020 01 23 00	34.794
2020 01 23 01	34.794
2020 01 23 02	34.794
2020 01 23 03	34.794
2020 01 23 04	34.794
2020 01 23 05	34.794
2020 01 23 06	34.794
2020 01 23 07	34.794
2020 01 23 08	34.794
2020 01 23 09	34.794
2020 01 23 10	34.794
2020 01 23 11	34.794
2020 01 23 12	34.794
2020 01 23 13	34.794
2020 01 23 14	34.794
2020 01 23 15	34.794
2020 01 23 16	34.794
2020 01 23 17	34.794
2020 01 23 18	34.794
2020 01 23 19	34.794
2020 01 23 20	34.794
2020 01 23 21	34.794
2020 01 23 22	34.794
2020 01 23 23	34.794
2020 01 24 00	34.347
2020 01 24 01	34.347
2020 01 24 02	34.347
2020 01 24 03	34.347
2020 01 24 04	34.347
2020 01 24 05	34.347
2020 01 24 06	34.347
2020 01 24 07	34.347
2020 01 24 08	34.347
2020 01 24 09	34.347
2020 01 24 10	34.347
2020 01 24 11	34.347
2020 01 24 12	34.347
2020 01 24 13	34.347
2020 01 24 14	34.347
2020 01 24 15	34.347
